 < 22:17:21 >  0 0 
 < 22:20:43 >  362.558197021484 0 0 
 < 22:20:44 >  362.558197021484 0 0 
 < 22:20:45 >  362.558197021484 0 0 
 < 22:20:46 >  362.558197021484 0 0 
 < 22:20:47 >  362.558197021484 0 0 
 < 22:20:48 >  362.558197021484 0 0 
 < 22:20:49 >  362.558197021484 0 0 
 < 22:20:50 >  362.558197021484 0 0 
 < 22:20:51 >  362.558197021484 0 0 
 < 22:20:52 >  362.558197021484 0 0 
 < 22:20:53 >  362.558197021484 0 0 
 < 22:20:54 >  362.558197021484 0 0 
 < 22:20:55 >  362.558197021484 0 0 
 < 22:20:56 >  362.558197021484 0 0 
 < 22:20:57 >  362.558197021484 0 0 
 < 22:20:58 >  362.558197021484 0 0 
 < 22:20:59 >  362.558197021484 0 0 
 < 22:21:00 >  362.558197021484 0 0 
 < 22:21:01 >  362.558197021484 0 0 
 < 22:21:02 >  362.558197021484 0 0 
 < 22:21:03 >  362.558197021484 0 0 
 < 22:21:04 >  362.558197021484 0 0 
 < 22:21:05 >  362.558197021484 0 0 
 < 22:21:06 >  362.558197021484 0 0 
 < 22:21:07 >  362.558197021484 0 0 
 < 22:21:08 >  362.558197021484 0 0 
 < 22:21:09 >  362.558197021484 0 0 
 < 22:21:10 >  362.558197021484 0 0 
 < 22:21:11 >  362.558197021484 0 0 
 < 22:21:12 >  362.558197021484 0 0 
 < 22:21:13 >  362.558197021484 0 0 
 < 22:21:14 >  362.558197021484 0 0 
 < 22:21:15 >  362.558197021484 0 0 
 < 22:21:16 >  362.558197021484 0 0 
 < 22:21:17 >  362.558197021484 0 0 
 < 22:21:18 >  362.558197021484 0 0 
 < 22:21:19 >  362.558197021484 0 0 
 < 22:21:20 >  362.558197021484 0 0 
 < 22:21:21 >  362.558197021484 0 0 
 < 22:21:22 >  362.558197021484 0 0 
 < 22:21:23 >  362.558197021484 0 0 
 < 22:21:24 >  362.558197021484 0 0 
 < 22:21:25 >  362.558197021484 0 0 
 < 22:21:26 >  362.558197021484 0 0 
 < 22:21:27 >  362.558197021484 0 0 
 < 22:21:28 >  362.558197021484 0 0 
 < 22:21:29 >  362.558197021484 0 0 
 < 22:21:30 >  362.558197021484 0 0 
 < 22:21:31 >  362.558197021484 0 0 
 < 22:21:32 >  362.558197021484 0 0 
 < 22:21:33 >  362.558197021484 0 0 
 < 22:21:34 >  362.558197021484 0 0 
 < 22:21:35 >  362.558197021484 0 0 
 < 22:21:36 >  362.558197021484 0 0 
 < 22:21:37 >  362.558197021484 0 0 
 < 22:21:38 >  362.558197021484 0 0 
 < 22:21:39 >  362.558197021484 0 0 
 < 22:21:40 >  362.558197021484 0 0 
 < 22:21:41 >  362.558197021484 0 0 
 < 22:21:42 >  362.558197021484 0 0 
 < 22:21:43 >  362.558197021484 0 0 
 < 22:21:44 >  362.558197021484 0 0 
 < 22:21:45 >  362.558197021484 0 0 
 < 22:21:46 >  362.558197021484 0 0 
 < 22:21:47 >  362.558197021484 0 0 
 < 22:21:48 >  362.558197021484 0 0 
 < 22:21:49 >  362.558197021484 0 0 
 < 22:21:50 >  362.558197021484 0 0 
 < 22:21:51 >  362.558197021484 0 0 
 < 22:21:52 >  362.558197021484 0 0 
 < 22:21:53 >  362.558197021484 0 0 
 < 22:21:54 >  362.558197021484 0 0 
 < 22:21:55 >  362.558197021484 0 0 
 < 22:21:56 >  362.558197021484 0 0 
 < 22:21:57 >  362.558197021484 0 0 
 < 22:21:58 >  362.558197021484 0 0 
 < 22:21:59 >  362.558197021484 0 0 
 < 22:22:00 >  362.558197021484 0 0 
 < 22:22:01 >  362.558197021484 0 0 
 < 22:22:02 >  362.558197021484 0 0 
 < 22:22:03 >  362.558197021484 0 0 
 < 22:22:04 >  362.558197021484 0 0 
 < 22:22:05 >  362.558197021484 0 0 
 < 22:22:06 >  362.558197021484 0 0 
 < 22:22:07 >  362.558197021484 0 0 
 < 22:22:08 >  362.558197021484 0 0 
 < 22:22:09 >  362.558197021484 0 0 
 < 22:22:10 >  362.558197021484 0 0 
 < 22:22:11 >  362.558197021484 0 0 
 < 22:22:12 >  362.558197021484 0 0 
 < 22:22:13 >  362.558197021484 0 0 
 < 22:22:14 >  362.558197021484 0 0 
 < 22:22:15 >  362.558197021484 0 0 
 < 22:22:16 >  362.558197021484 0 0 
 < 22:22:17 >  362.558197021484 0 0 
 < 22:22:18 >  362.558197021484 0 0 
