 < 21:09:30 >  300.004150390625 38.2917861938477 42.2979545593262 
 < 21:09:31 >  301.732635498047 22.7459945678711 42.3047523498535 
 < 21:09:32 >  304.070709228516 0.931512951850891 42.3186264038086 
 < 21:09:33 >  306.726043701172 0.93877112865448 42.3401107788086 
 < 21:09:34 >  309.376403808594 0.94134509563446 42.347412109375 
 < 21:09:35 >  311.209808349609 0.946206212043762 42.3620262145996 
 < 21:09:36 >  311.306579589844 0.949966788291931 42.384521484375 
 < 21:09:37 >  311.179016113281 0.950472772121429 42.3919563293457 
 < 21:09:38 >  310.908111572266 0.951283693313599 42.4067802429199 
 < 21:09:39 >  310.496704101563 0.952416837215424 42.4289321899414 
 < 21:09:40 >  310.359497070313 0.952808141708374 42.4362525939941 
 < 21:09:41 >  310.0849609375 0.95358943939209 42.4506568908691 
 < 21:09:42 >  309.672790527344 0.954740047454834 42.4719696044922 
 < 21:09:43 >  309.535278320313 0.95512056350708 42.4789276123047 
 < 21:09:44 >  309.260131835938 0.955872893333435 42.4925689697266 
 < 21:09:45 >  308.984741210938 0.956606149673462 42.5056915283203 
 < 21:09:46 >  308.709167480469 0.957321047782898 42.5183868408203 
 < 21:09:47 >  308.29541015625 0.958364486694336 42.5365829467773 
 < 21:09:48 >  308.157409667969 0.958699285984039 42.542407989502 
 < 21:09:49 >  307.881256103516 0.959332704544067 42.553581237793 
 < 21:09:50 >  307.604949951172 0.959928870201111 42.5642890930176 
 < 21:09:51 >  307.328491210938 0.960485935211182 42.5742988586426 
 < 21:09:52 >  307.051910400391 0.961011528968811 42.5837020874023 
 < 21:09:53 >  306.775207519531 0.961487054824829 42.5928077697754 
 < 21:09:54 >  306.498382568359 0.961921811103821 42.6026725769043 
 < 21:09:55 >  306.221466064453 0.962304174900055 42.6134910583496 
 < 21:09:56 >  305.944458007813 0.962785542011261 42.6363067626953 
 < 21:09:57 >  305.667388916016 0.962935388088226 42.6467628479004 
 < 21:09:58 >  305.390258789063 0.963279783725739 42.6728897094727 
 < 21:09:59 >  305.113006591797 0.96369457244873 42.7055206298828 
 < 21:10:00 >  304.835540771484 0.964320302009583 42.7431831359863 
 < 21:10:01 >  304.557769775391 0.965342879295349 42.7818145751953 
 < 21:10:02 >  304.279479980469 0.966889500617981 42.815315246582 
 < 21:10:03 >  304.000457763672 0.968966245651245 42.841064453125 
 < 21:10:04 >  303.580261230469 0.972817003726959 42.8681983947754 
 < 21:10:05 >  303.439727783203 0.974138617515564 42.8746795654297 
 < 21:10:06 >  303.158050537109 0.976490378379822 42.8851585388184 
 < 21:10:07 >  302.734588623047 0.97892028093338 42.8959503173828 
 < 21:10:08 >  302.593322753906 0.979475736618042 42.8987007141113 
 < 21:10:09 >  302.310729980469 0.980264544487 42.9035682678223 
 < 21:10:10 >  302.028167724609 0.98072075843811 42.9079284667969 
 < 21:10:11 >  301.745727539063 0.9809330701828 42.9121971130371 
 < 21:10:12 >  301.322296142578 0.980967044830322 42.9189796447754 
 < 21:10:13 >  301.181213378906 0.98093444108963 42.9212799072266 
 < 21:10:14 >  300.899078369141 0.980838298797607 42.9262924194336 
 < 21:10:15 >  300.476043701172 0.980669856071472 42.9342460632324 
 < 21:10:16 >  300.335052490234 0.980623483657837 42.9372177124023 
 < 21:10:17 >  300.053100585938 0.980536103248596 42.9431495666504 
 < 21:10:18 >  299.630218505859 4.12673568725586 42.9522399902344 
 < 21:10:19 >  299.4892578125 6.28457975387573 42.9554214477539 
 < 21:10:20 >  299.207336425781 11.5208110809326 42.9616546630859 
 < 21:10:21 >  298.925415039063 21.6089553833008 42.9704055786133 
 < 21:10:22 >  298.671234130859 25.5680236816406 42.9728393554688 
 < 21:10:23 >  298.5234375 33.2818717956543 42.9761009216309 
 < 21:10:24 >  298.675903320313 42.7660636901855 42.9751091003418 
 < 21:10:25 >  298.9228515625 44.175479888916 42.9729270935059 
 < 21:10:26 >  299.931549072266 41.0072822570801 42.9658012390137 
 < 21:10:27 >  302.891052246094 11.3161268234253 42.9480476379395 
 < 21:10:28 >  304.161285400391 0.988642573356628 42.9402351379395 
 < 21:10:29 >  306.895080566406 0.992536664009094 42.9220809936523 
 < 21:10:30 >  309.645965576172 0.998306930065155 42.8898811340332 
 < 21:10:31 >  311.676513671875 0.99987655878067 42.878246307373 
 < 21:10:32 >  311.949188232422 1.00104856491089 42.854679107666 
 < 21:10:33 >  311.570770263672 0.998794674873352 42.8209190368652 
 < 21:10:34 >  311.428253173828 0.997725486755371 42.8103561401367 
 < 21:10:35 >  311.142456054688 0.995420336723328 42.7905769348145 
 < 21:10:36 >  310.715270996094 0.991857826709747 42.7636871337891 
 < 21:10:37 >  310.573303222656 0.990697979927063 42.7554664611816 
 < 21:10:38 >  310.289886474609 0.988453388214111 42.740062713623 
 < 21:10:39 >  309.865875244141 0.98535430431366 42.7191886901855 
 < 21:10:40 >  309.724792480469 0.984386444091797 42.7127075195313 
 < 21:10:41 >  309.442993164063 0.982533812522888 42.7002563476563 
 < 21:10:42 >  309.021148681641 0.979985237121582 42.6827697753906 
 < 21:10:43 >  308.880737304688 0.978406727313995 42.6719131469727 
 < 21:10:44 >  308.600219726563 0.977649629116058 42.6666488647461 
 < 21:10:45 >  308.18017578125 0.975464224815369 42.651237487793 
 < 21:10:46 >  307.900604248047 0.974081158638 42.6410980224609 
